year,candidate,party_simplified,candidatevotes,winning_candidate,winning_party
2020,"COLLINS, PHIL",OTHER,4856,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"CUELLAR, JESSE",OTHER,49,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"CUMMINGS, DANIEL CLYDE",OTHER,36,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"CUOMO, ANDREW",OTHER,14,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,88234,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"DUNCAN, RICHARD",OTHER,213,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"F, RANDALL",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"FARNEY, JOHN",OTHER,84,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"FORBES, KATHERINE",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"FRANKLIN, CHRIS",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"GABBARD, TULSI",OTHER,142,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"GAMMON, C. L.",OTHER,1475,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"GIBSON, KATHRYN",OTHER,3,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HAMMONS, BILL",OTHER,6647,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HAWKINS, HOWIE",OTHER,405034,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HIGGS, JEREMY",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HODGES, PAUL",OTHER,13,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HOEFLING, TOM",OTHER,1299,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HOWARD, SHAWN W.",OTHER,92,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HUBER, BLAKE",OTHER,409,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HUCKABEE, MIKE",OTHER,10,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HUNTER, DARIO",OTHER,5023,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HUNTER, PHIL",OTHER,379,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"HUNTER, TARA RENEE",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",OTHER,504,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,JADE SIMMONS,OTHER,1626,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"JANOS, JAMES G. ""JESSE VENTURA""",OTHER,3284,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,JOHNSON JR. JAMES L.,OTHER,5,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"JORGENSEN, JO",LIBERTARIAN,1797355,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"JORGENSEN, JO",OTHER,68368,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,JOSEPH KISHORE,OTHER,121,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KASICH, JOHN",OTHER,67,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KENNEDY, ALYSON",OTHER,6791,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KING, RICKI SUE",OTHER,546,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KISHORE, JOSEPH",OTHER,229,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KLOBUCHAR, AMY",OTHER,19,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KLOJZY, JEFFREY J.",OTHER,0,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"KOPITKE, KYLE KENLEY",OTHER,815,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"LA RIVA, GLORIA ESTELLA",OTHER,85614,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"LABOCH, MICHAEL",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"LAFONTAINE, CHRISTOPHER",OTHER,856,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"LEE, JOHNSON",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"LOEB, ABRAM",OTHER,36,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MANIMAS, JOHN",OTHER,2,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,MARK CHARLES,OTHER,634,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MARTIN, DAVID A.",OTHER,3,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MCCORMIC, KEITH",OTHER,126,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MCCRAY, VALERIE",OTHER,17,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MCHUGH, JOE",OTHER,2843,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MCKEE, KEVIN",OTHER,4,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MONTANYE, RICHARD CHARLES",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MORROW, ROBERT",OTHER,56,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"MYERS, JOHN RICHARD",OTHER,1372,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"OBAMA, MICHELLE",OTHER,10,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,OVERVOTES,OTHER,3590,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"PAIGE, BROOKE H.",OTHER,1175,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"PAUL, RON",OTHER,13,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"PENCE, MIKE",OTHER,56,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"PIERCE, BROCK",OTHER,49695,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"RALEY, ALBERT",OTHER,32,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"RICE, CONDOLEEZA",OTHER,12,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"ROMNEY, MITT",OTHER,170,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"ROUSE, DEBORAH",OTHER,13,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SANDERS, BERNIE",OTHER,192,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SCALF, ZACHARY",OTHER,29,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SCHAWLB, BENJAMIN",OTHER,3,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SCHRINER, JOE",OTHER,13,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SCOTT, JORDAN ""CANCER""",OTHER,175,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SEGAL, JEROME M.",OTHER,5949,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SHAHEEN, JEANNE",OTHER,14,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SHERRILL, PETER",OTHER,11,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SIMMONS, JADE",OTHER,5506,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SIMMONS, MARY RUTH CARO",OTHER,3,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"STEVENS, TIMOTHY ALLEN",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"STRIED, CHRISTOPHER",OTHER,2,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"STRUCK, JAMES TIMOTHY",OTHER,2,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SUNUNU, CHRIS",OTHER,46,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SUPREME, VERMIN",OTHER,22,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"SWING, GARY",OTHER,141,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"TITTLE, SHEILA ""SAMM""",OTHER,1806,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"TRUMP, DONALD J.",REPUBLICAN,74216146,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,UNDERVOTES,OTHER,8073,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,VOID,OTHER,23368,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WALLS-WINDHAUSER, ANGELA",OTHER,2,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WEINSTEIN, KARYNN KRILL",OTHER,1,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WELD, BILL",OTHER,23,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WELLS, KASEY",OTHER,212,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WEST, KANYE",OTHER,70296,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WILLIAMS JR., ANDY",OTHER,8,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"WILLIAMS, MITCHELL",OTHER,6,"BIDEN, JOSEPH R. JR",DEMOCRAT
2020,"YANG, ANDREW",OTHER,58,"BIDEN, JOSEPH R. JR",DEMOCRAT
